text,emotion
when a boy tried to fool me so he would be ok trying to show me that he is a gook boy,anger
"i felt anger when i saw that i was being misleaded by my boyfriend, he went out with other girls i felt anger for his falsity",anger
once a friend had pushed me and i had fallen on to a window which then broke  i was taken to tthe principal's office and he accused me of having broken the window,anger
"when i was misleaded by a person who assured that something would not occur, that i had no reason to prepccupy myself, and suddenly i saw myself implicated by the fact, because of the incompetence, and irresponsibility of that person",anger
"i don't use to lie to my parets about what i do, and the two times that i felt anger were when they doubted me i said that i was going to the club, and they didn't believe me because the day before they had met me at fliperama i had the wish to kil",anger
during the short period of my unemployment about six years back,anger
when my chief accused me of an error that i hadn't made,anger
a girl entered in the division where i work and greeted everybody but not me,anger
"when i was dancing with a dame at a social, one of my friends who  was interested in her came and took her away from me  i was really angry with him then",anger
"my mother was ill and asked me to prpare our lunch i went to do it, and while i was working, she stayed behind me telling what i had, or not to do i asked her to stop meddling, and to go to bed when i went to ask for help to my sister, my mother",anger
"in the university we were convoked to a stroll like a freshman i was still innocent about the manipulation on seeing the goal of the exaltation to poor character people, i felt anger on feeling myself mass of maneuver",anger
i loved a person and he went away it wasn't necessary that he left me to reach his goals,anger
when i realized that the person i was courting hadn't been really by my side for a long time already he had deceived me and i let him deceive me,anger
during my childhood when i could not get what i wanted from my brother/sister and parents,anger
in the last year of the high school we had a huge fight between my group and the graduation commission (two students of my classroom) because they accused us unjustly of a gossip about them,anger
my mother in law slept in my bed,anger
ther are many instances which are all equally irritating,anger
in certain occasion i have a fight with my boyfriend during the fight i closed the door at his face he went away but came back next day,anger
"one day i lent my tennis i just had washed to my sister because she asked it i asked her not to soil it as i had just washed it next day i looked at the tennis, and it was dirty with wax she could not have soiled it it was lack of consideration",anger
sometime ago i felt very angry when my mother wrote me telling me that my elder sister was messing up things at home by her internalised aggressive attitude towards parents and her husband,anger
when i was robbed in a bus,anger
"when my mother slapped me in the face, i felt anger at that moment",anger
somebody wanted to beat my brother at a wedding ceremony and i was trying to protect my brother but the other man was calling names to both of us,anger
once i had an argument with my friends and i knew that i was right  my friends went on arguing with me even though they did not know the right thing,anger
when i had a serious argument with a dear person,anger
a chief was unjustly punished on an autumn brigade and the one who was really guilty kept silent i stepped in front and told the truth the guilty chief called me in after the roll-call and threatened me,anger
"when i left after the examination to enter the university, and even though i had studied the whole year i made a bad exam",anger
"when i was doing research a few months ago, i had asked the institute to sponsor me for a computer course which was held in tiss  however, because of the administrative officer i could not get the money",anger
"i was on a farm with a few friends and during the talk i discovered that a friend of mine, was being betrayed by her boyfriend and a 3rd friend of ours",anger
i felt anger against a person who told bad things about me in my absence,anger
"on discovering the red-tapism and the bureaucratic, corrupt, decadent, degenerated infrastucture of every public utility, office and service; and the rampant corruption at every single level of education and other institutions",anger
when a colleague was rude with me because she didn't understand the subject about which i was discussing,anger
"i felt much anger when my fahter interferred in my relations with another person whom i liked very much, ending something that i adored",anger
i felt angry when repeated pleas to the ticket collector and the co-passengers in order to make a queue fell on deaf ears  i have this feeling whenever someone is not disciplined and methodic in doing his duty,anger
"and she said absurd things, false things that filled my ears and inflated my head which seemed to be caught in a carcass where the heart wanted to explode and where the arm wanted to knock down the world",anger
this was the worst incident of my hostel life  i was insulted by a close friend of mine on the eve of the new year and it totally spoiled my new year's night,anger
discussion with my mother about the way to educate my children i felt anger against my mother,anger
when my sister took something that belonged to me without my permission,anger
"i had made an error in planning a programme and had publicly accepted the mistake, despite repeated requests not to bring the matter for discussion a professor kept constantly passing remarks i reacted angrilyá",anger
"my grandmother is a highly authoritative person, who lives alone, is independent, but doesn't know to live without commanding the others i hate this!",anger
"when my brother went out with my new shirt that i adored, and returned it dirty with grease",anger
"a few days back a friend of mine poked me in the ribs for fun's sake, though i had warned him an infinite number of times that it really hurts me, he did it again  i usually ignore this but this time i flared up for a split second and threatened to",anger
"a ex-boyfriend tried to prejudice me before my fianct and his family saying things about me that let his family worried we had to postpone our wedding and we were already using our wedding rings to be honest i didn't feel just anger, i felt hate",anger
when i was punished in school for no serious mistake of mine,anger
without the employer's knowledge and even without any communication their bank accounts were changed and their personal accounts closed,anger
"i felt much anger and perhaps i feel it till now, against my girlfriend's sister who incited her to betray me just when i needed her very much she didn't think of anything, simply passed over everything",anger
"one day my room-mate started imitating me, doing what i had done a few hours back  i got very angry and started beating him up",anger
once in my work it happened a fight between the person in charge and me i got so angry and spoke out everything i felt at the moment,anger
"i was travelling from delhi to bombay  i had booked a seat one month back and i had also got a telegram confirming this  however, in the train my name had been omitted from the reservation sheet, and the one seat that was still vacant was allote",anger
"when my brothers were being cruel to my boyfriend, because his flat-mate bent back one of my brother's fingers it wasn't his fault",anger
"when my boss cut off my vacations saying that in that month it wouldn't be possible, and after some time he let another girl take vacations that month the anger was because of the resentment resulting from our bad relationship",anger
when one teacher unjustly gave me zero in a test saying that i was cribbing,anger
one day in a crossroad somebody crashed my car i got out and this person laughed at me i felt such a great anger that i got in my car and went away,anger
i missed an opportunity to go abroad because of some silly mistakes for which i had to suffer a lot,anger
"when a so-called friend let me down, when she promised to tell me when a certain concert was occurring, and that she'd get me tickets i was really looking forward to it she did nothing, just told me out of the blue one day what a fantastic concert",anger
"after seeing an ""uncertain"" child work on a model for several hours, i watched a ""bully"" of the same age destroy it, telling the child that it was worthless",anger
when i got low marks in bsc final,anger
"my ex-boyfriend began to date my best friend after they had been seeing each other, i found out that he had been sleeping with another girl, without my friend knowing, i told my friend what he had been doing behind her back",anger
"this also happened when i was very small  i was beaten up by my  mother for no fault of mine, i had just beaten up my younger brother for what i thought was his fault  i was very angry with my mother",anger
