text,emotion
when the week for exams came i got afraid as to how i would tackle the questions,fear
"i was sleeping when i heard the neighbours screaming, i peeped through the window and saw a thief  trying to enter my neighbour's house",fear
there was a time when my room looked terribly untidy; just at that time my aunt came to see me; fortunately i could prevent her from entering the room,shame
when my friend told me that he would come and meet me in a moment,joy
"when i saw the film ""johnny got his gun"" which deals with the consequences of the vietnam war",sadness
"walking along the beach with a friend (another girl), talking, picking up shells, laughing, chasing seagulls",joy
when the americans set their nucleaar missiles in europe,disgust
motor failure on a boat outside gottenburg when we were in heavy  seas and the wind was strong  as we could not steer the boat we drifted towards the rocks  we did not succeed in attracting the attention of any passerby until 4 hours had elapsed,fear
"when a professor of this faculty laughed at, and was suspicious of a composition written by a class-mate and me",anger
a friend of mine promised to come with me to the cinema but he didn't come,anger
i was in my village when a bull jumped over a fence and started chasing my friends and me  we were very frightened till we climbed up a tree,fear
i was raped by a friend,fear
foreign students playing loud music in the night before the biology examn,disgust
when employer made a pass at me whilst i was at work,disgust
wrongly accused a classmate,guilt
my husband suddenly fell ill seriously and during the medical examinations we did not know what would follow,fear
"when i was in form 4, at secondary school, i was elected as a school library assistant and also the leader of catholic students, so i felt very joyous",joy
"i was with a group of people and everybody told me to do or say something  it was a confusing, strong and traumatic situation for me",shame
when my grandmother died very suddenly without warning,sadness
when i passed and qualified for the university,joy
i was very sad when i heard about the death of my teacher who taught me in standard 8,sadness
i watched a very terrfying film in lt2  this film really pushed my heart out of my body and i was forced to go out before the second reel ended,fear
when my grandmother died,sadness
an unjust refree decision at a sports event when i was the team leader,anger
i finished my homework; an important task,joy
"incomprehension and repression towards a child's behaviour, commonly not accepted, and making the child cry",guilt
insulted by my mother,sadness
i took pharmacology books from my friend's desk without permission and i was found guilty,guilt
i felt guilty of having suspected my room-mate of stealing the money last term,guilt
"as part of the assessment i had to speak on a subject in front of the class i was not really prepared and i was just reading the stuff i had on a piece of paper, when some of the students  asked me something i could not give them an answer  i felt",shame
"i felt it when on duty in the hospital i understood that i was not afraid to face death, that i also helped a little to relieve the pains of a patient",joy
when i was told a friend's baby had been born with only partial sight this was her first child and she was not young (the mother that is),sadness
"i get angry when someone imputes on me things i never can do, naturally negative servility, ""connections"", impudence, traits that get me mad",anger
death of my grandmother,sadness
when i forgot my mother's birthday,shame
one time i was injured when i was playing football at school in blantyre i was brought to the hospital while my leg was totally swollen the x-rays confirmed there was no fracture but collection of blood n the muscles i feared when they started to,fear
when i triffled with other people,guilt
"that afternoon i received two messages informing me, one that my brother was in a coma in the uth suffering (kidney disease) and two, that my uncle met with an accident on his way to the hospital  to see my brother",sadness
"as i usually do not start learning until a short time before an examination,, i once made up my mind to try to work for a longer time but once again i did not do it - and got a bad mark",anger
low evaluation of other people's cares,guilt
my husband and i were invited at the house of our nieghbours then we got an invitation on the part of my parents which we had to refuse a a result they called me by words that provoked my anger,anger
misunderstood by a close friend for the wrong reason,anger
when i decided to take a week s holiday without consulting the family first,guilt
when i was younger i often saw my father come home drunk (he had big problems at that time) once he woke me up in the middle of the night and shouted at me,disgust
"when i dined with my new friends, one of them kept reminding us that he was superior",disgust
"my friend was so intoxicated that the police came and took him away, and they later contacted his parents",shame
"when i heard about the advances an acquaintance of mine had made to my friends, who did not approve of them",disgust
thinking about other things in a lecture,guilt
someone told me that i was chosen for english lectures because the class leader is going out with me (not true),anger
"when thieves broke into our house, i was disgusted by their behaviour  they did not find anything so they broke things like the windows, glasses etc",disgust
i felt disgust toward meat when i felt sick with the steak after a week only on meat,disgust
this is a kind of confession - my mum found me stealing meat from the pot,guilt
promising someone to do their job and then not being able to do it due to transport troubles,guilt
i was talking to my mom on the phone and she told me that she had just gotten an award that day in front of all these people and she asked me if i wanted her to send me the article in the temple newsletter to me i said no very quickly and felt guil,guilt
when my mother had a nervous illness,fear
i took a girl out once and discovered that she was going around with one of my close friends,shame
a friend of mine shot himself through the head after having told me and others that he would do so,guilt
"one night during dinner my nephew was naughty, so i quarrelled with my  parents   i regreted this as my nephew was only two years old and i  had to tolerate him !  the quarrel made my father think that his children  may not take care of him in the",guilt
"realizing that school will soon be over, and we will all go different ways, perhaps never meeting again our friends from this year",sadness
when i was a child my parents caught me with a pornographic magazine,shame
when my sister was very ill and was admitted to the hospital,fear
at the end of my senior yr in high school i found out that a friend of mine i knew had cancer had been diagnosed as terminally ill,sadness
when i almost walked on a snake,fear
"my grandmother is a highly authoritative person, who lives alone, is independent, but doesn't know to live without commanding the others i hate this!",anger
when the university withdrew the accomodation that it had given me,anger
"the first time i saw a pornographic film, all that in practice is so beautiful but on the screen appered as something mechanical, irrational, disgusting and dehumanizing",disgust
the day i was happiest was the day when i received a phone call from eve's weekly to inform me that i had won the first prize of the all india essay competition  i had won this prize when i was an under-graduate when even post graduates had partici,joy
i remember that when i was in school i saw a case of partiality - one of the teachers gave private coaching classes to some girls and she would give these girls extra attention in class and would ignore the others,anger
i was studying in class at night i was in form ii by then there were rumours about an earthquake that night dogs were chasing one another and passed through the window outside the classroom those who saw the dogs thought it was a lion and were t,fear
i shot the decisive goal in an ice-hockey match,joy
i felt sad after having had an argument with my boyfriend  i felt that he did not understand me and that there was no point in carrying on with the relationship,sadness
"when my father passed away of cancer, i was extremely saddened he was not very old, which made matters worse the actual death was horrendous, but the moving funeral saddened me more so",sadness
i send a word to my boss through my servant telling him that i would not report for work as i was not feeling well and that the   doctor had refused to give me sick leave  my intention was actually to go out of lusaka for a week-end  i left the sa,guilt
"i wanted to clear up a misunderstanding with a friend that i had caused a third person meddled in our conversation, turned my efforts to ridicule so that i did not succeed in what i had intended",anger
falling over,shame
saw a blue film in a cinema,guilt
"when i passed the last exam, which i had doudts about",joy
"i won the first prize at the science fair, the first of the kind at school and i was only in form ii then",joy
"when dropping a carton of boiling soup onto a co-worker's leg - causing great pain, and for me, severe embarassment at my own ineptitude, and shame that another person suffered as a result",shame
a dear friend was removed from the division whre i work,sadness
when i was asked to be a child's godmother,joy
a brother from one of the christian fellowship often phoned me and talked to me for half an hour or more  however there was nothing important in the conversation and i found the person very disgusting,disgust
when my favourite football team made a goal and was about to win the cup of england,joy
"unexpected visit by a close friend, whom i hadn't seen for half a year",joy
"when i was 17, i told mum i came in at midnight, when really it was 330",guilt
"with my mouth full of bun, i drank directly from a packet of milk which turned out to be weeks old (completely separated)  it took a while for the milk to seep through the bun",disgust
"i feel guilty as i am not working, and even my studies are not progressing",shame
"i was very angry when my friend lost my practical's journal, which i needed to study for the exams",anger
when my boyfriend once again told me that he loved me after a period in which he felt very depressive,joy
"i wanted to be pregnant and did not succeed, so i was depressed    at every menstruation",sadness
i felt guilty when i thought that i was still not standing on my own feet,guilt
when i was caught stealing money from my father,shame
receiving a letter from a boy i care,joy
when my mother interfered in my life,anger
slept with someone close to my girlfriend and myself,guilt
the transport to pick us up for lunch was always late and the driver made the same excuse every day,disgust
when my girl went away for a holiday without saying good-bye to me,sadness
"when abroad, while driving a car along a dark, winding road",fear
"when my boyfriend was leaving to go home one night, i had a very deep sense of uneasiness and an unwarranted fear that i wouldn't see him again",fear
i was sitting in a station-hall and watching a lavatory attendant she was very dirty she started to eat something out of a dirty cup - it must have been something like lard then she took some breadcrumbs out of the pockets of her apron and ate á,disgust
when my mother got a terrible beating from my father  it was so bad that she fainted and it was only then that my dad realized how bad it was,disgust
having been angry and unpleasant towards my parents,guilt
carried out a vandalistic act on some windows at an old army location,guilt
"after attending a song contest proposed by a band called ""chyne"" we (6 of us) waited for the members of the band to greet us in front of the stage  we went out after a few minutes as it was time to close the hall  we had been waiting at the entran",joy
saw a very arrogant girl walking like a queen,disgust
when thieves broke into our neighbour's house and later we heard gunshots,fear
when the contract about my shop was signed,joy
finding out that china is backward in science,shame
"i and my friends got acquainted with a guy from sofia who turned out to be gay, but we found that out only after 2 or 3 days",disgust
unrealisation of the desired profession (aviator),sadness
watched a horror movie which involved sexual attacks on women,fear
fear from the unknown i felt fear when i sat for the entrance examinations,fear
"fear is an emotion that i experience very often  naturally this is during exams and subsequently while waiting for the results  however there is one occassion when i was paralyzed with fear  this was when i was doing my ma-i, and we had a serie",fear
when a classmate of ours knocked on our door at 2 o'clock in the morning  i was disgusted at his behaviour,disgust
"when i am alone at night after having read horror stories, and then i heard unexplainable noises",fear
"when i was getting up, i found a live cockroach in my bedroom",disgust
once while playing tennis with my classmate i lost a few tennis balls  i found one near the tennis court and took it to be mine despite thinking that it might belong to the student in the next court  i felt guilty  later someone came to me to cla,guilt
"when i got admission in msc (i) organic chemistry, i was very happy",joy
when i had an argument with a friend,sadness
when i beat up a first year student at my secondary school in my capacity as the deputy head boy  he had woken up late in the  morning for manual work,guilt
knowing that i had to do the survey with him i felt very reluctant  although i do not know him i feel disgusted by just looking at him  thinking that the project lasted several days i regreted having joined that project,disgust
a friend of mine felt bad because of something i had done to something that belonged to him,guilt
"i had written a ""love-letter"" to a class-mate of mine, this was meant to be a joke  unfortunately it fell in the wrong hands  and i had to face the consequences",shame
"when i was on holiday, walking back to where i was staying, at night, and two men started closely following me there was nobody around that i could run to",fear
we were driving at night and i realized that a car was following us,fear
i received an unexpected b+ on an engineering midterm i did not study nearly as much as i should have and it was a difficult test,joy
when i realized that i avoided two good friends with whom i always shared toys and sorrows i made up idle stories to avoid telling them what happened to me,guilt
when a friend died,sadness
i was afraid to walk through the forest one day when i dropped off the bus around 630 pm,fear
i felt shame when i discontinued my education for eight months,shame
"i made a remark to my sister concerning her attitude to men, the way she talked and i compared her to an acquaintance of mine  later, the same evening, my sister looked sad  i felt guilty about her sadness",guilt
found out that my grandmother might have been misdiagnosed as a psychiatric patient because the doctor did not know about neurologism,sadness
i didn't offer my seat to a pregnant woman in the bus,shame
found out that someone i knew well has been misunderstanding me for 2 years,anger
"i was very sad when i did not get admission in the english college, as i had 1% less marks than they wanted",sadness
an invitation to spend 5 days at the seaside with all expenses paid,joy
when i stole a packet of cigarettes from a neighbour  and the next day i owned up and returned it,shame
"on a trip abroad, a lady-like member of our group turned out to be an alcoholic  she spoilt many days of my holidays because of her behaviour and paranoia",disgust
"during class one day i walked out of the class  the teacher noticed it and decided that he would take some action against me, when i realized this i approached him and told him that i was sorry for the incident and would not repeat it",guilt
i am chosen for the english lectures instead of my good friend and people told me that girls are more likely to be chosen,shame
"a girl in our class was nicknamed ""fatsy"" later, i heard that she suffered from diabetes mellitus",shame
i happened to have met one of my teachers in town during working hours the badness was i didn't ask for permission to go out and i was guilty-conscious,guilt
i was at home and we were sleeping when we heard some robbers breaking into our house,fear
when i inadvertantly made some close friends and relatives feel bad,guilt
the hero was chased by a terrible vampire in a suspense and horror film shown on tv,fear
"when i was back home after a long time, meeting beloved people and close friends",joy
when i don't go to my parents on sunday and phone them to tell them that i have to study the truth is that i listened to sports on the radio,guilt
i felt sad at having to leave my girlfriend after constant problems and failed attempts at reconciliation  my sadness was caused by the irreversibility of the decision,sadness
"when i had lied, saying that i never take bread from the dinning hall and a friend of mine caught me doing it  he thus proved to me that i did in fact take the bread",guilt
the loss of my mother,sadness
when someone took my pen away,anger
i felt very happy when i won the football pools,joy
my father told me in the letter that my mother is ill,sadness
when my best friend started getting involved in my private affairs,disgust
a tiresome person held me up all day long  i was very busy then (i can not remember what the problem was)  he continously tried to make me talk to him and disturbed me,disgust
when i met a friend of mine after several months,shame
"on my birthday, my closest friends were here at berkeley pithched in a lot of money each and bought me ten records to replace some of my records that were stolen they threw a small surprise party for me too",joy
when a person saw that i was accused of something i had not done and did not do anything to defend me,disgust
i was looking after my father's sheen in the forest one day while playing with friends from neighbouring villages the flock escaped me and went into a far place it became dark and i was afraid of father i went home and hid myself,fear
when my roommate's moped was stolen i was very angry,anger
seeing a close friend who had just returned from twelve months overseas,joy
when i got my ba degree with first class,joy
i had a girlfriend who lived several kilometers away from my home one day she wrote me that she'd visit me on her way she had a car accident and was badly injured i was very sorry to see her lying in a bed in the hospital,sadness
after training for an australian championship competition for a year and then injuring myself 2 weeks before the competiotion,sadness
friends who torture animals,anger
"after a footballmatch i went home by car, a friend drove i did not realize that he was drunk until we were in the car he was madly racing several times we were in dangerous situations and i told him to be cautious, but he did not care",fear
"once, during a performance i did not sing the way i had to",anger
